,Question,,,,Response,
175,ଧାନ ଚାଷ କରିବା ପୂର୍ବରୁ ମାଟି ପରୀକ୍ଷା ଜରୁରୀ କି?,,Soil Testing,,ଜାଣି ରଖନ୍ତୁ ମାଟି ପରୀକ୍ଷା ନିହାତି ଜରୁରୀ।ମାଟି ପରୀକ୍ଷା କରିବା ଦ୍ଵାରା ମାଟି ର ଉର୍ବରତା ଏବଂ ଅନ୍ୟାନ୍ୟ ଗୁଣ ଗୁଡିକ ଜଣା ପଡି ଥାଏ। ସେହି ଅନୁସାରେ ଅନୁମୋଦିତ ଖତ ସାର କୁ ପ୍ରୟୋଗ କଲେ ସଠିକ ଅମଳ ମିଳି ଥାଏ । ଏହି ସମୟ ଟି ମାଟି ପରୀକ୍ଷା କରିବା ପାଇଁ ଅନୁକୂଳ। ଆପଣ ମାଟି ର ନମୁନା ସଂଗ୍ରହ କରି ନିକଟସ୍ଥ କୃଷି ବିଭାଗ ର ମୃତ୍ତିକା ପରିକ୍ଷାଗାର କିମ୍ବା କୃଷି ବିଜ୍ଞାନ କେନ୍ଦ୍ର ରେ ପରିକ୍ଷା କରି ପାରିବେ।,
176,ପୂଜା ଧାନ ଲଗେଇଛି ଏବଂ ଧାନ ଫସଲ ଭଲ ଭାବ ରେ ଫଳିନାହି ତେବେ କେଉଁ ସାର ପ୍ରୟୋଗ କରିବି।,,Fertilizer Management,Fertilizer Dose,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ପୂଜା ଧାନ ଲଗେଇଛିନ୍ତି ଏବଂ କେଉଁ ସାର ପ୍ରୟୋଗ କରିବେ । ତେବେ ଜାଣି ରଖନ୍ତୁ ଧାନ ତଳି ଲଗେଇବାର 25 ରୁ 25 ଦିନ ମଧ୍ୟରେ 35 କେଜି ୟୁରିଆ ସାର ସହ 12 କେଜି ପଟାସ ସାର ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।ମନେ ରଖନ୍ତୁ ସାର ପ୍ରୟୋଗ କରିବା ପୂର୍ବରୁ ଜମି ରୁ ଘାସ ବାଛି ଦିଅନ୍ତୁ।,
177,ଧାନ ଗଛ ହଳଦିଆ ପଡିଯାଉଛି କିପରି ନିୟନ୍ତ୍ରଣ କରିବାକୁ ହେବ?,,Nutrient Management,,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ହଳଦିଆ ପଡିଯାଉଛି, ଆପଣଙ୍କ ସହ କଥା ହେବ ପରେ ଜାଣିବାକୁ ପାଇଲୁ ଏହା ସାର ଅଭାବ ରୁ ହୋଇଅଛି ।ତେଣୁ ମଲ୍ଟି କେ ନାମକ ପତ୍ର ସିଞ୍ଚିତ ସାର ଯେଉଁଥିରେ ଏନପିକେ -13:0:45 ଅଛି 5 ଗ୍ରାମ 1 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ ।",
178,କେଣ୍ଡା ବାହାରିବା ସମୟ ରେ କଣ ସାର ଦିଆଯିବ ।,,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନର ଥୋଡ ସାର ଉପରେ। ଯଦି ଧାନ ତଳି ଲଗାଇବାର 60 ରୁ 65 ଦିନ ହେଇ ଯାଇ ଥାଏ ତେବେ ୟୁରିଆ 20 କେଜି ଥୋଡ ସାର ଭାବେ ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।,
179,ଧାନରେ କଣ କଣ ଥୋଡ ସାର ହିସାବରେ ଦିଆଯାଏ?,,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନର ଥୋଡ ସାର ଉପରେ। ଯଦି ଧାନ ତଳି ଲଗାଇବାର 60 ରୁ 65 ଦିନ ହେଇ ଯାଇ ଥାଏ ତେବେ ୟୁରିଆ 20 କେଜି ଥୋଡ ସାର ଭାବେ ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ । ହାଲୁକା ଜମି ପାଇଁ ୟୁରିଆ ସହ 14 କେଜି ପଟାସ ସାର ଥୋଡ ସାର ପ୍ରୟୋଗ କରି ପାରିବେ।,
180,ଧାନ ରେ ଜୈବିକ ସାର ନା ରାସାୟନିକ ସାର ପ୍ରୟୋଗ କରିବି କିଛି କୁହନ୍ତୁ।,,Nutrient Management,,ଧାନରେ ଜୈବିକ ସାର ସହ ରସାୟନିକ ସାର କୁ ବ୍ୟବହାର କରିବା ନିହାତି ଜରୁରୀ। ଯଦି ଆପଣ ଜୈବିକ ସାର ବ୍ୟବହାର କରିବେ ତେବେ ଅଧିକ ଅମଳ ମିଳିବ ନାହି। ସେଥିପାଇଁ ଦୁଇଟି ସାରର ବ୍ୟବହାର କରନ୍ତୁ ଅଧିକ ଅମଳ ମିଳିବ ।,
181,ଧାନ ତଳି ପକେଇବାକୁ ଯାଉଛି। ଗୋଟେ ପକେଟ ଧାନ ବିହନ ତଳି ପକେଇବା ପାଇଁ କେତେ ସାର ଖତ ଦରକାର।,,Nursery Preparation,Fertilizer Dose,"ଏକ ଏକର ଧାନ ଚାଷ ପାଇଁ 10 ଡେସିମିଲ ଜାଗାର ତଳି ଘେରା ପ୍ରସ୍ତୁତ କରନ୍ତୁ । ସେହି ତଳି ଘେରାରେ 200 କେଜି କମ୍ପୋଷ୍ଟ କିମ୍ବା ଶଢା ଗୋବର ଖତ, 4 କେଜି ଡ଼ିଏପି, 2.5 କେଜି ପଟାସ ଏବଂ 1 କେଜି ଜିଙ୍କ ସଲଫେଟ ବା ଦସ୍ତା ଅଣୁସାର ଜମି ପ୍ରସ୍ତୁତି ବେଳେ ପ୍ରୟୋଗ କରନ୍ତୁ, ତଳି 13 ଦିନ ର ହୋଇଗଲେ 3 କେଜି ୟୁରିଆ ସାର ପ୍ରୟୋଗ କରନ୍ତୁ।",
182,ସାର୍ ମୁଁ ପାଣି ଅଭାବରୁ ଥୋଡ ସାର ଦେଇପାରିନି। ଏବେ ଥୋଡ ସାର ଦେଲେ ଚଳିବ କି ।,,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ଥୋଡ ସାର ଦେବେ ନା ନାଇ। ତେବେ ଜାଣି ରଖନ୍ତୁ ଯଦି ଧାନ ଗଛ 60 ରୁ 65 ଦିନର ହେଇଯାଇଛି ତେବେ ବିଳମ୍ବ କିସମ ପାଇଁ 17 କେଜି ୟୁରିଆ ସାର ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।,
183,କେଣ୍ଡା ବାହାରିବା ସମୟ ରେ କଣ ସାର ଦିଆଯିବ ।,,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନର ଥୋଡ ସାର ଉପରେ। ଯଦି ଧାନ ତଳି ଲଗାଇବାର 65-70 ଦିନ ହେଇଯାଇ ଥାଏ ତେବେ ବିଳମ୍ବ କିସମ ପାଇଁ ୟୁରିଆ 17 କେଜି ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।ହାଲୁକା ମାଟି ବା ବାଲିଆ ମାଟି ଜମି ରେ 50 ପ୍ରତିଶତ ପଟାସ ସାର (13.5 କେଜି) ୟୁରିଆ ସହିତ ପ୍ରୟୋଗ କରନ୍ତୁ।,
184,ଧାନ ବିହନ କେମିତି ସଂଗ୍ରହ କରା ହେବ ଏବଂ କେମିତି ରଖା ହେବ।,,Harvesting Management,Storage management,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ବିହନ କେମିତି ସଂଗ୍ରହ କରାହେବ ଏବଂ କିପରି ରଖା ହେବ। କେଣ୍ଡା ର 80 ରୁ 85 ଭାଗ ପାଚି ଗଲେ ଧାନ କୁ କାଟି ଧାନ କଟା ଯନ୍ତ୍ର କିମ୍ବା ବଳଦ ପାଦ ରେ ଧାନ କୁ ଅମଳ କରନ୍ତୁ। 5 ରୁ 6 ଦିନ ପର୍ଯ୍ୟନ୍ତ ଏହି ଧାନ କୁ ସକାଳ 7 ଟା ରୁ 10 ଟା ମଧ୍ୟ ରେ ପଡୁଥିବା ଖରା ରେ ଶୁଖାନ୍ତୁ । ତାପରେ ଅମାର ଘରେ ସାଇତି ରଖନ୍ତୁ। ଅମାର ଘରେ ରଖିବା ପୂର୍ବରୁ ଘରର କବାଟ ଝରକା କାନ୍ଥ ମାନଙ୍କରେ ରେ ଥିବା ଫାଟ କୁ ମାଟି କିମ୍ବା ସିମେଣ୍ଟ ଦ୍ଵାରା ବନ୍ଦ କରିଦିଅନ୍ତୁ। ସଫା କରିବା ପରେ 100 ବର୍ଗ ମିଟର ଜାଗା ପାଇଁ 250 ଗ୍ରାମ Malathion 5 % WP ଗୁଣ୍ଡ କାନ୍ଥ ଓ ଛାତ ରେ ବିଞ୍ଚିଦିଅନ୍ତୁ । ଧାନ ରଖିବା ପାଇଁ ଖାଲି ବସ୍ତା କୁ ଧୋଇ ଟାଣ ଖରା ରେ ଶୁଖାଇ ବାୟୁରୁଦ୍ଧ କରି ଅମାର ଘରେ ରଖନ୍ତୁ । ଅମାର ଘରେ ଯେତେ ବାୟୁରୁଦ୍ଧ ହୋଇପାରିବ ସେତେ ଭଲ କାରଣ ଅମ୍ଳଜାନ ଅଭାବ ରୁ ପୋକମାନେ ବଂଶ ବିସ୍ତାର କରି ପାରିବେ ନାହିଁ। ,
185,ଧାନ ଫସଲରେ ଦ୍ଵିତୀୟ ସାର ସହିତ ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ (Agromin Max) ବ୍ୟବହାର କରିଲେ ହେବ କି?,,Crop Growth management,,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ରେ ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ (Agromin max) ପକେଇବାକୁ ଚହୁଁଛନ୍ତି, ତେବେ ଜାଣି ରଖନ୍ତୁ ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ ଏକ ମିଶ୍ରିତ ଅଣୁସାର ଅଟେ, ପିଲ ସାର ଦେଲା ବେଳେ ଧାନ ଫସଲ ରେ ଏହି ମିଶ୍ରିତ ଅଣୂସାର ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ କୁ 4 କେଜି ଏକର ଜମିରେ ପ୍ରୟୋଗ କରିପାରିବେ ଯାହାଦ୍ୱାରା ଭଲ ଅମଳ ମିଳିଥାଏ ।",
186,ଧାନ ଫସଲ ରେ କାଣ୍ଡବିନ୍ଧା ପୋକ ଲାଗିଛି। ଏହାକୁ କେମିତି ଦମନ କରିବି?,,Pest and Disease management,Stemborer,"ଆପଣ ଧାନ ରେ କାଣ୍ଡବିନ୍ଧା ପୋକ ର ନିୟନ୍ତ୍ରଣ କେମିତି କରିବେ ଜାଣିବାକୁ ଚାହିଁଥିଲେ। କାଣ୍ଡବିନ୍ଧା ପୋକ ମୁଖ୍ୟତଃ ପିଲ ହେବା ଅବସ୍ଥା କିମ୍ବା ରୋଇବାର 20-25 ଦିନ ପରେ ଲାଗି ଥାଏ। କାଣ୍ଡବିନ୍ଧା ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ Chlorantraniliprole 18.5% SC କୀଟନାଶକ ଯାହାକି Coragen କିମ୍ବା Cover କିମ୍ବା Rise ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 5 ମିଲିଲିଟର ପ୍ରତି 15 ଲିଟର ପାଣି ରେ କିମ୍ବା Cartap hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Surgent SC ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲିଲିଟରେ ପ୍ରତି 15 ଲିଟରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ଔଷଧ କୁ ଗଛ ମୂଳ କୁ ଲକ୍ଷ୍ୟ କରି ଭଲ ଭାବରେ ସିଂଚନ କରି ପାରିବେ। । ଯଦି ଔଷଧ ସିଂଚନ କରିବା ସୁବିଧା ହେଉନି ତେବେ Cartap hydrochloride 4G ଦାନାଦାର ବିଷ ଏକର ପିଛା 8 କେଜି କୁ 20 କେଜି ବାଲି ରେ ମିଶାଇ ପ୍ରୟୋଗ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
187,ମୋ ଧାନ ବିଲରେ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ଲାଗିଛି। ଏହା କୁ ନିୟନ୍ତ୍ରଣ କେମିତି କରିବା?,,Pest and Disease management,Brown Plant Hopper,"ଆପଣ ଧାନ ରେ ଗୁଣ୍ଡି ପୋକ ଲାଗିଛି ଏବଂ ଏହା କୁ କେମିତି ନିୟନ୍ତ୍ରଣ କରିବେ ଜାଣିବାକୁ ଚାହିଁ ଥିଲେ। ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ ପ୍ରଥମେ ଜମିରୁ ପାଣି ନିଷ୍କାସନ କରନ୍ତୁ। ଆପଣ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ Pymetrozine 50% WG ଔଷଧ ଯାହାକି Chess ନା ରେ ମିଳୁଛି 10 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ନା ରେ ମିଳୁଛି 4.5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Dinotefuran 20%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।",
188,ଧାନ ରେ ପତ୍ରାଛାଦ ପୋଡା ରୋଗ ଏବଂ କାଣ୍ଡବିନ୍ଧା ପୋକ ଲାଗୁଛି ଏହାର ପ୍ରତିକାର କିପରି କରିବି?,,Pest and Disease management,Sheath Blight and Stemborer,"ଆପଣ ଧାନ ରେ ପତ୍ରାଛାଦ ପୋଡା  ରୋଗ ଏବଂ କାଣ୍ଡବିନ୍ଧା ପୋକ ଲାଗୁଛି ଏହାର ପ୍ରତିକାର କିପରି କରିବେ ଜାଣିବାକୁ ଚାହିଁ ଥିଲେ। । କାଣ୍ଡବିନ୍ଧା ପୋକ ର ପ୍ରତିକାର ପାଇଁ Cartap Hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ପତ୍ରାଛାଦ ପୋଡା ରୋଗ ର ପ୍ରତିକାର ପାଇଁ Hexaconazole 5%EC ଔଷଧ ଯାହାକି Contaf ବା Trigger କୁ 15 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Validamycin 3%L ଔଷଧ ଯାହାକି Auzar ବା Sheathmar ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
189,ଧାନ ପତ୍ର ଗୁଡିକ ଧଳା ହେଇଯାଉଛି ଏବଂ ପୋକ ପତ୍ର ଭିତରେ ଦେଖାଯାଉଛି। ଏହାର ପ୍ରତିକାର ପାଇଁ କିଛି କୁହନ୍ତୁ?,,Pest and Disease management,Caseworm,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ପତ୍ର ଗୁଡିକ ଧଲା ହେଇଯାଉଛି ଏବଂ ପୋକ ପତ୍ର ଭିତରେ ଦେଖାଯାଉଛି ତେବେ ଏହି ପୋକ ର ପ୍ରତିକାର ପାଇଁ Cartap Hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
190,ଧାନ ରେ ଗୁଣ୍ଡି ପୋକ ନିୟନ୍ତ୍ରଣ ପାଇଁ କି ପ୍ରତିକାର ନେବି?,,Pest and Disease management,Thrips,"ଆପଣ ଧାନ ରେ ଗୁଣ୍ଡି ପୋକ ବା ଶୋଷକ ପୋକ ଲାଗିଛି ଏବଂ ଏହା କୁ କେମିତି ନିୟନ୍ତ୍ରଣ କରିବେ ଜାଣିବାକୁ ଚାହିଁ ଥିଲେ। ଏହି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ ଆପଣ Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Dinotefuran 10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Imidachlorpid17.8%SL ଔଷଧ ଯାହାକି Confidor ବା Tatamida ନା ରେ ମିଳୁଛି 5 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ । ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
191,ଧାନ ଫସଲ ରେ ନେଳି ପୋକ ଲାଗୁଛି ଆଉ ଏହି ପୋକ ପତ୍ର ଗୁଡିକୁ କାଟି ଦଉଛି । କିପରି ପ୍ରତିକାର କରିବି?,,Pest and Disease management,Caseworm,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ଫସଲ ରେ ନେଳି ପୋକ ଲାଗୁଛି ଆଉ ଏହି ପୋକ ପତ୍ର ଗୁଡିକୁ କାଟି ଦଉଛି। ତେବେ ଏହି ପୋକ ର ପ୍ରତିକାର ପାଇଁ Cartap Hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Surgent SC ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
192,ଧାନ ଫସଲ ରେ ଲେଡା ପୋକ ଲାଗିଛି । ଏହାର ପ୍ରତିକାର ପାଇଁ କେଉଁ ମେଡିସିନ ସ୍ପ୍ରେ କରିବି?,,Pest and Disease management,Swarming Caterpillar,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ଫସଲ ରେ ଲେଡା ପୋକ ଲାଗୁଛି ଏବଂ ଏହାର ପ୍ରତିକାର ପାଇଁ କଣ କରିବେ। ତେବେ ଏହି ପୋକ ର ପ୍ରତିକାର ପାଇଁ Chlorpyriphos 50% ଏବଂ Cypermethrin 5% ମିଶ୍ରିତ ଔଷଧ ଯାହାକି Anaconda କିମ୍ବା Ulka-505 ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Prophenophos 50%EC ଯାହାକି Prahar ବା Profex ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
193,ଧାନ ଗଛ ହଳଦିଆ ପଡିଯାଉଛି କଣ କରିବାକୁ ପଡିବ?,,Pest and Disease management,Sucking Pest,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ହଳଦିଆ ପଡିଯାଉଛି, ଏହା ଶୋଷକ କୀଟ ଦ୍ଵାରା ହୋଇଥାଏ । ତେଣୁ ଏହାର ପ୍ରତିକାର ପାଇଁ Thiamethoxam 25%WG ଯାହାକି Actara ବା Evident ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 5ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Dinotefuran10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
194,ଧାନ ଫସଲରେ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ପାଇଁ କଣ ଔଷଧ ଆବଶ୍ୟକ?,,Pest and Disease management,Brown Plant Hopper,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ଲାଗିଯାଉଛି, ଏହାର ପ୍ରତିକାର କଣ। ତେବେ ଏହି ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ବା ଚକଡା ପୋକ ଧାନ ଗଛ ମୂଳରେ ଠିକ ପାଣି ସ୍ତର ଉପରେ ବସି ରହି ରସ ଶୋଷି ନିଏ ଯାହା ଦ୍ଵାରା ଗଛଟି ଶୁଖି ଯାଏ, ଏହାର ପ୍ରତିକାର ପାଇଁ ପ୍ରଥମେ ଧାନ କିଆରି ର ଫୁଟେ ଦେଢ ଫୁଟ ହିସାବ ରେ ପାହି କରିଦିଅନ୍ତୁ ଏବଂ ପାଣି କାଟି ଦିଅନ୍ତୁ । ଏହାପରେ ଆପଣ Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ବା Turbine ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Thiamethoxam 25%WG ଯାହାକି Actara ବା Evident ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Dinotefuran10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
